id,name,keywords,sections,cta_strategy,best_for
ld01,hero-centric,hero centric single-cta above-fold,"Hero, value-prop, primary CTA, social proof strip, features",Single dominant CTA repeated in hero and final section,"SaaS, product launches, general marketing"
ld02,product-grid,product grid ecommerce catalog,"Hero banner, category nav, product grid, promo blocks",Add-to-cart / shop-now CTAs on each product card,"E-commerce, retail catalogs"
ld03,trust-centric,trust centric security compliance finance,"Hero, security badges, testimonials, compliance logos, CTA","CTA paired with trust signals (security badges, client logos)","Fintech, healthcare, B2B enterprise"
ld04,course-centric,course centric education curriculum,"Hero, curriculum outline, instructor bio, testimonials, pricing",Enroll/Start-learning CTA near curriculum and pricing,"Education platforms, online courses"
ld05,booking-centric,booking centric service appointment,"Hero, services list, gallery, testimonials, booking widget",Persistent Book-Now CTA in header and hero,"Beauty/spa, healthcare, home services"
ld06,listing-grid,listing grid real-estate marketplace,"Hero search bar, filterable listing grid, map view, inquiry form",Inquire/Contact CTA on each listing card,"Real estate, marketplaces, rentals"
ld07,menu-centric,menu centric restaurant food,"Hero, menu highlights, gallery, reservation, location/hours",Reserve-a-table CTA plus order-online secondary CTA,"Restaurants, cafes, food delivery"
ld08,portfolio-showcase,portfolio showcase case-studies work,"Hero statement, selected work grid, case study pages, contact",Low-pressure Contact/Let's-talk CTA at the end,"Agencies, freelancers, portfolios"
ld09,cause-centric,cause centric nonprofit donation,"Hero story, impact stats, testimonials, donate section",Prominent Donate CTA with suggested amounts,"Nonprofits, charities, causes"
ld10,hype-centric,hype centric gaming launch entertainment,"Full-bleed hero video/art, trailer, features, community links",Wishlist/Play-now CTA with urgency/countdown,"Gaming, entertainment launches"
ld11,demo-centric,demo centric ai product interactive,"Hero with live/interactive demo, capability list, use-cases, pricing","Try-it-now CTA above the fold, docs CTA secondary","AI products, deep tech, dev platforms"
ld12,docs-centric,docs centric developer api tool,"Hero with code snippet, quickstart, feature grid, docs link","Get-started/Read-docs CTA, copy-paste code sample","Developer tools, APIs, SDKs"
ld13,comparison,comparison pricing competitor versus,"Hero, comparison table, pricing tiers, FAQ",Choose-plan CTA per pricing tier,"Pricing pages, competitor comparison pages"
ld14,social-proof-heavy,social proof testimonials logos reviews,"Hero, logo wall, testimonial carousel, case study stats, CTA",CTA reinforced by adjacent testimonial/logo proof,"Enterprise SaaS, B2B services"
ld15,waitlist,waitlist pre-launch coming-soon early-access,"Hero, product teaser, email capture, social links",Join-waitlist email capture as the sole CTA,"Pre-launch products, early access programs"
