id,category,priority,title,guideline,do,dont
ux001,accessibility,1,color-contrast,Text must meet WCAG contrast minimums,"Use 4.5:1 for normal text, 3:1 for large text (18px+ bold or 24px+)",Placing gray-400 text on a white background
ux002,accessibility,1,focus-states,Interactive elements need a visible focus ring,Use a 2px visible outline/ring with sufficient contrast on :focus-visible,Removing outline:none without a replacement focus style
ux003,accessibility,1,alt-text,Meaningful images need descriptive alt text,Describe the image's purpose/content in alt='',Leaving alt empty on informative images or stuffing keywords
ux004,accessibility,1,aria-labels,Icon-only buttons need an accessible name,"Add aria-label describing the action, e.g. aria-label='Close menu'",Shipping an icon button with no discernible text for screen readers
ux005,accessibility,1,keyboard-nav,All interactive elements must be keyboard reachable,Ensure logical tab order matching visual order; support Enter/Space,"Trapping focus in a modal with no escape, or skipping tabindex order"
ux006,accessibility,1,form-labels,Every input needs an associated label,"Use <label for='id'> or aria-labelledby, not placeholder-only",Using placeholder text as the only label (disappears on input)
ux007,accessibility,1,semantic-html,Use semantic elements over generic divs,"Use nav, main, header, button, etc. for their intended purpose",Using <div onClick> instead of <button> for actions
ux008,accessibility,1,skip-links,Provide a skip-to-content link,Add a visually-hidden-until-focused 'Skip to main content' link,Forcing keyboard users to tab through the entire nav every page
ux009,accessibility,1,error-identification,Form errors must be programmatically associated,Use aria-describedby to link error text to its input,Showing error text visually with no association for screen readers
ux010,accessibility,1,heading-hierarchy,"Headings must follow a logical, non-skipping order",Use h1 > h2 > h3 in document order for structure,Skipping heading levels purely for font-size convenience
ux011,touch,2,touch-target-size,Touch targets must be large enough to hit reliably,Minimum 44x44px (iOS) / 48x48dp (Android) tappable area,Small icon buttons packed tightly with no spacing
ux012,touch,2,hover-vs-tap,Primary actions must not depend on hover,Use click/tap as the primary trigger; hover is progressive enhancement,Hiding a critical action behind hover-only reveal on touch devices
ux013,touch,2,loading-buttons,Disable buttons during async operations,Show a spinner and disable the button while the request is in flight,Allowing repeat clicks that fire duplicate form submissions
ux014,touch,2,error-feedback,Errors must appear near the point of failure,Show inline error messages next to the offending field,Showing only a generic top-of-page banner for a specific field error
ux015,touch,2,cursor-pointer,Clickable elements need a pointer cursor,Add cursor-pointer/cursor: pointer to all clickable elements,Leaving the default cursor on a clickable card or row
ux016,touch,2,tap-feedback,Taps need immediate visual feedback,Use an active/pressed state (opacity/scale) on tap,No visual acknowledgment that a tap registered
ux017,touch,2,swipe-affordance,Swipeable content needs a visible affordance,Peek the next item or add dots/arrows to hint swipeability,A fully swipeable carousel with no visual hint it's swipeable
ux018,touch,2,destructive-confirmation,Destructive actions need confirmation,Require a confirm step (dialog) for delete/irreversible actions,One-tap delete with no undo or confirmation
ux019,performance,3,image-optimization,Images should be optimized and responsive,"Use WebP/AVIF, srcset, and lazy loading below the fold",Shipping full-resolution PNGs with no lazy loading
ux020,performance,3,reduced-motion,Respect the user's reduced-motion preference,Wrap non-essential animation in @media (prefers-reduced-motion: reduce),Forcing parallax/auto-play animation regardless of OS setting
ux021,performance,3,content-jumping,Reserve space for async content,Set explicit width/height or aspect-ratio before content loads,Letting images/ads load in and shift layout (high CLS)
ux022,performance,3,font-loading,Fonts shouldn't cause invisible text or big shifts,Use font-display: swap and preload critical fonts,Blocking render on web font load with no fallback
ux023,performance,3,code-splitting,Ship only what the current view needs,"Lazy-load routes/heavy components (charts, editors, modals)",Bundling every page's JS into a single blocking initial payload
ux024,performance,3,debounce-input,Expensive input handlers should be debounced,Debounce search/filter inputs that trigger network/heavy compute,Firing an API call on every keystroke with no debounce
ux025,layout,4,viewport-meta,Pages need a correct viewport meta tag,"<meta name='viewport' content='width=device-width, initial-scale=1'>","Omitting the viewport tag, causing mobile browsers to zoom out"
ux026,layout,4,readable-font-size,Body text should be readable without zooming,Minimum 16px body text on mobile,Using 12-13px body copy that forces users to pinch-zoom
ux027,layout,4,horizontal-scroll,Content must fit the viewport width,"Use max-width: 100%, overflow-x: auto only on intentional scroll areas",Fixed-width elements causing unintended horizontal page scroll
