id,heading_font,body_font,keywords,personality,best_for,google_fonts_import
ty01,Inter,Inter,modern clean neutral saas,"Neutral, versatile, highly legible","SaaS, dashboards, general UI",Inter:wght@400;500;600;700
ty02,Manrope,Inter,modern geometric friendly saas,Friendly-modern with a geometric edge,"Startup landing pages, product sites",Manrope:wght@600;800|Inter:wght@400;500
ty03,Space Grotesk,Inter,tech futuristic geometric mono-adjacent,"Distinct, techy, slightly quirky","AI/dev tools, tech startups",Space+Grotesk:wght@500;700|Inter:wght@400;500
ty04,Sora,Work Sans,modern rounded friendly approachable,Approachable and rounded-modern,"Consumer apps, onboarding flows",Sora:wght@600;800|Work+Sans:wght@400;500
ty05,Playfair Display,Lato,elegant luxury serif editorial,"Elegant, high-contrast, editorial luxury","Luxury retail, fashion, hospitality",Playfair+Display:wght@600;700|Lato:wght@400;500
ty06,Cormorant Garamond,Karla,elegant refined classic luxury,"Refined, classic, softly elegant","Luxury editorial, weddings, boutique brands",Cormorant+Garamond:wght@500;600|Karla:wght@400;500
ty07,Fraunces,Inter,warm editorial expressive serif,"Warm, expressive serif with character","Editorial blogs, lifestyle brands",Fraunces:wght@500;600|Inter:wght@400;500
ty08,Libre Baskerville,Source Sans 3,classic editorial readable serif,"Classic, trustworthy, highly readable","Long-form editorial, news, blogs",Libre+Baskerville:wght@400;700|Source+Sans+3:wght@400;500
ty09,DM Serif Display,DM Sans,elegant modern serif display,Elegant modern serif with clean body pairing,"Boutique product sites, portfolios",DM+Serif+Display|DM+Sans:wght@400;500
ty10,Poppins,Nunito Sans,playful geometric rounded friendly,"Playful, rounded, energetic","Consumer apps, education, kids products",Poppins:wght@600;700|Nunito+Sans:wght@400;600
ty11,Fredoka,Nunito,playful bubbly rounded kids,Bubbly and youthful,"Kids apps, games, playful brands",Fredoka:wght@500;600|Nunito:wght@400;600
ty12,Baloo 2,Mulish,playful rounded warm approachable,"Warm, rounded, welcoming","Education platforms, community apps",Baloo+2:wght@600;700|Mulish:wght@400;500
