id,name,keywords,description,best_for,effects,anti_patterns
st01,glassmorphism,glass frosted blur translucent modern,Frosted-glass panels with backdrop blur over vivid backgrounds,"SaaS dashboards, fintech apps, marketing hero sections",backdrop-blur-lg;bg-white/10-30;border border-white/20;soft shadow,Low contrast text on transparent panels; overuse on every surface
st02,claymorphism,clay soft 3d puffy rounded playful,"Soft, puffy 3D shapes with inset/outset shadows resembling clay","Kids apps, playful consumer apps, onboarding flows",double box-shadow (light+dark);large border-radius;pastel fills,Heavy shadows hurting performance; unreadable on dark backgrounds
st03,neumorphism,soft ui embossed monochrome subtle,"Extruded, monochrome surfaces using subtle dual shadows","Settings panels, music players, single-tone dashboards",subtle dual-shadow;low contrast fills;rounded corners,Fails accessibility contrast; unusable for primary CTAs
st04,minimalism,minimal clean simple whitespace,"Generous whitespace, restrained palette, single accent color","Portfolios, luxury brands, editorial sites",large whitespace;1-2 accent colors;thin dividers,Empty feeling if used for data-dense dashboards
st05,brutalism,brutalist raw bold stark unpolished,"Raw, unpolished layouts with stark typography and visible structure","Design studios, art portfolios, indie brands",harsh borders;system fonts;no rounded corners,Hurts usability for transactional/enterprise apps
st06,neubrutalism,neo-brutalist bold outline offset shadow,Bold flat colors with thick black outlines and offset hard shadows,"Startup landing pages, dev tools, youth brands",thick 2-4px borders;offset box-shadow no blur;bold flat colors,Overuse of clashing colors reduces readability
st07,flat-design,flat 2d simple iconography,"Simple 2D shapes, no gradients/shadows, bold solid colors","Mobile apps, icon systems, marketing sites",solid fills;no shadows;geometric icons,Lacks depth cues for complex interactive hierarchies
st08,material-design,material google elevation ripple,Google's elevation-based system with ripple feedback and grid,"Android apps, productivity tools, cross-platform apps",elevation shadows;ripple on tap;8px grid,Feels dated if not paired with current type scale
st09,skeuomorphism,realistic textures shadows real-world,"Mimics real-world textures and objects (leather, paper, metal)","Music/audio apps, camera apps, niche nostalgia products",realistic textures;drop shadows;gradients,"Heavy, dated look; poor scalability across screen sizes"
st10,bento-grid,bento grid modular boxes asymmetric,"Modular grid of rounded boxes of varying sizes, Apple-style","Product feature pages, portfolios, dashboards",rounded-2xl cards;CSS grid;varied cell spans,Cramped content when boxes are too small for their text
st11,dark-mode,dark theme night low-light,Dark background UI with light text and muted accent surfaces,"Developer tools, media apps, dashboards used at night",bg-gray-900/950;desaturated accents;elevated surface tones,Pure black backgrounds cause halation; low-contrast grays
st12,high-contrast-dark,high-contrast dark accessible bold,Dark UI tuned for AA/AAA contrast with punchy accent colors,"Accessibility-first apps, fintech, government",bg-#0B0F19;text >=7:1 contrast;saturated single accent,Neon accents everywhere causing visual fatigue
st13,swiss-design,swiss grid international typographic,"Grid-driven, typographic, objective layout (International Style)","Editorial, agencies, museum/culture sites",strict column grid;Helvetica-like sans;red/black accents,Feels cold for emotionally-driven consumer brands
st14,editorial,editorial magazine long-form serif,Magazine-inspired layout emphasizing long-form reading,"Blogs, news sites, essays, thought-leadership",serif headlines;drop caps;pull quotes,Line lengths too wide on desktop hurt readability
st15,magazine-layout,magazine multi-column masthead,Multi-column print-like layout with mastheads and bylines,"Content publishers, culture/lifestyle sites",multi-column text;masthead header;image captions,Doesn't collapse well without careful responsive rules
st16,corporate-clean,corporate professional trustworthy b2b,"Structured, conservative layout conveying trust for B2B","Enterprise SaaS, consulting, legal, finance",blue/navy palette;clear hierarchy;stock-free photography,Can feel generic without a distinct accent color
st17,enterprise-serious,enterprise dense dashboard admin,"Dense, information-rich UI optimized for power users","Admin panels, internal tools, B2B dashboards",compact spacing;data tables;muted neutral palette,Too dense for first-time/casual consumer users
st18,startup-friendly,startup approachable modern gradient,Approachable modern look with soft gradients and rounded UI,"Early-stage SaaS, product landing pages",soft gradient hero;rounded-xl buttons;friendly illustrations,Overused gradient hero pattern reads as templated
st19,playful-rounded,playful rounded friendly bubbly,"Bubbly, rounded shapes with bright saturated colors","Kids/education apps, social apps, casual games",rounded-full elements;bright palette;bouncy micro-animations,Undermines credibility for serious financial/medical tools
st20,luxury-editorial,luxury premium elegant serif gold,"High-end, elegant layout with serif type and restrained gold accents","Luxury retail, fashion, hospitality, real estate",serif display type;generous negative space;gold/black accents,Slow-loading heavy imagery hurts perceived performance
st21,dark-luxury,dark luxury premium moody cinematic,Moody dark palette with metallic accents for premium branding,"Automotive, watches, private banking, hospitality",near-black bg;metallic gold/bronze accent;cinematic imagery,Low contrast body text if accent overused for copy
st22,organic-shapes,organic blob fluid shapes natural,"Fluid, hand-crafted blob shapes breaking up rigid grids","Wellness, beauty, sustainability brands",blob SVG backgrounds;soft color washes;rounded imagery,Blobs overlapping text reduce legibility
st23,gradient-mesh,gradient mesh vibrant colorful backdrop,Multi-color mesh gradients as vibrant section backgrounds,"AI/tech product launches, creative agencies",mesh-gradient bg;vibrant multi-stop gradients;glass cards on top,Gradient banding on low-end displays; text contrast issues
st24,aurora-gradient,aurora gradient glow ambient,Soft glowing aurora-like gradient blur behind content,"AI products, dark-mode marketing pages",blurred radial gradients;dark bg;glow accents,Performance cost of large blurred gradients on mobile
st25,monochrome,monochrome single-hue tonal,Single hue across all tints/shades for a cohesive tonal look,"Portfolios, architecture, fashion","one hue, multiple tints;black/white photography",Hard to signal state (error/success) without a second hue
st26,duotone,duotone two-color image treatment,Two-color image treatment for photography-heavy sections,"Creative portfolios, music/event platforms",duotone photo filters;bold two-color palette,Repeated duotone on every image feels monotonous
st27,soft-ui,soft-ui gentle pastel low-contrast,"Gentle pastel surfaces with soft shadows, softer than neumorphism","Wellness apps, lifestyle products",pastel fills;soft 8-16px shadow blur;rounded-xl,Pastel-on-pastel text fails contrast checks
st28,cyberpunk,cyberpunk neon glitch futuristic dark,Neon-on-black aesthetic with glitch accents and scanlines,"Gaming, crypto, entertainment brands",neon pink/cyan accents;glitch hover effects;monospace type,Overstimulating for long reading sessions
st29,vaporwave,vaporwave retro pastel neon 80s,Retro-futuristic pastel/neon palette with 80s grid motifs,"Music platforms, nostalgia-driven consumer brands",pink/purple gradient;grid horizon backgrounds;retro serif logo,Niche aesthetic mismatched to serious/B2B products
st30,y2k,y2k chrome bubble metallic 2000s,"Chrome, bubble text and metallic gradients evoking early-2000s web","Gen-Z fashion, music, youth culture brands",chrome gradient text;bubble buttons;sparkle accents,Reads unprofessional for enterprise or finance contexts
st31,retro-futurism,retro-futurism atomic space-age,"Atomic-age, space-race inspired shapes and warm retro palette","Entertainment, travel, novelty consumer brands",starburst motifs;warm orange/teal palette;rounded geometric type,Clashes with modern minimal product UI patterns
st32,memphis,memphis playful geometric shapes 80s,Bold geometric shapes and squiggles in the 1980s Memphis style,"Creative agencies, event brands, youth marketing",squiggle/confetti shapes;primary color blocks;playful type,Visually noisy; avoid for data-heavy interfaces
st33,art-deco,art-deco geometric gold luxury pattern,Symmetrical geometric ornamentation with gold/black luxury tones,"Hospitality, events, luxury real estate",fan/sunburst motifs;gold foil accents;symmetric layout,Ornamentation slows down simple task-based flows
st34,kinetic-typography,kinetic type motion animated text,"Typography as the primary visual element, often animated","Agency portfolios, film/media brands",animated headline reveals;huge type scale;tight tracking,Motion-heavy type harms performance and reduced-motion users
st35,brutalist-typography,brutalist type oversized raw stacked,"Oversized, stacked, sometimes overlapping raw typography","Design portfolios, fashion editorials",huge type-scale;overlapping text blocks;monospace accents,Overlap can break screen-reader reading order
st36,3d-depth,3d depth layered shadow parallax,Layered elements with strong shadows and parallax depth cues,"Product launch pages, 3D/gaming products",multi-layer drop-shadow;parallax on scroll;3D render assets,Heavy 3D assets hurt load time on mobile
st37,isometric,isometric illustration technical diagram,Isometric illustrations conveying technical/product concepts,"Dev tools, infrastructure/cloud products",isometric SVG illustration;consistent 30deg angles,Isometric icons illegible at small sizes
st38,hand-drawn,hand-drawn sketch doodle organic,"Hand-sketched icon/illustration style for a human, approachable feel","Education, indie products, community platforms",sketch-style SVGs;imperfect hand-drawn borders,Inconsistent hand-drawn assets look unpolished if mixed styles
st39,collage,collage cut-paper mixed-media layered,"Cut-paper, mixed-media layered compositions","Music, culture, fashion editorial brands",layered image cutouts;mixed typography;paper-texture bg,Hard to keep accessible reading order with layered text
st40,grain-texture,grain noise texture film organic,Subtle film-grain/noise texture overlay for warmth and depth,"Photography, film, premium consumer brands",SVG noise overlay at low opacity;warm color grading,Noise overlays increase file size and can look like a bug
st41,split-screen,split-screen dual-panel comparison,"Two-panel layout contrasting content, image, or before/after","Landing pages, comparison/pricing pages",50/50 or 60/40 grid split;contrasting bg colors,Breaks awkwardly on narrow mobile widths without stacking
st42,asymmetric-grid,asymmetric grid editorial dynamic,Off-balance grid creating dynamic tension and visual interest,"Creative portfolios, editorial homepages",uneven column spans;overlapping grid items,Harder to maintain visual rhythm across many pages
st43,data-dense,data-dense dashboard tables dense-ui,"Compact, information-dense layout optimized for scanning data","Analytics dashboards, trading platforms, admin tools",8px base spacing;monospace numerals;sticky table headers,Overwhelming for casual/first-time users without onboarding
st44,dashboard-minimal,dashboard minimal clean cards kpi,Clean card-based dashboard with generous spacing around KPIs,"Executive dashboards, reporting tools",KPI stat cards;soft dividers;single accent for alerts,Too sparse for power users needing dense data views
st45,warm-neutral,warm neutral beige earthy cozy,Warm beige/terracotta neutral palette for an approachable feel,"Wellness, food, lifestyle, home brands",warm off-white bg;terracotta/olive accents;serif body option,Low contrast between neutral tones if not checked
st46,cool-neutral,cool neutral slate gray corporate,"Cool slate/gray neutral palette for a calm, professional feel","B2B SaaS, fintech, healthcare",cool gray scale;single blue/teal accent;crisp sans-serif,Can feel cold/impersonal for consumer-facing brands
st47,pastel-soft,pastel soft muted gentle palette,Muted pastel palette across the whole UI for a gentle tone,"Wellness, baby/kids products, journaling apps",desaturated pastel fills;soft rounded corners,Pastel text on pastel bg frequently fails contrast
st48,bold-primary,bold primary saturated high-energy,Saturated primary-color blocks for high energy and clarity,"Sports, entertainment, youth consumer brands",fully saturated color blocks;strong color contrast;bold sans,Too many saturated colors together causes visual fatigue
st49,nature-organic,nature organic green sustainable earthy,"Green, earth-toned palette with organic textures and imagery","Sustainability, outdoors, agriculture, wellness brands",forest/moss green palette;organic photography;leaf motifs,Overused green-washing aesthetic if not backed by real content
st50,tech-futuristic,tech futuristic ai gradient dark sleek,Sleek dark UI with glowing gradient accents evoking AI/frontier tech,"AI products, deep tech, developer platforms",dark bg with glow accents;gradient text;monospace code UI,Glow effects overused reduce readability of body copy
